month,day,date,country,cumulative_number_of_case,number_of_death,number_recovered,current_case
4,11,11-Apr,Romania,1,0,0,1
4,11,11-Apr,Singapore,133,9,77,47
4,11,11-Apr,South Africa,1,0,0,1
4,11,11-Apr,Spain,1,0,0,1
4,11,11-Apr,Switzerland,1,0,1,0
4,11,11-Apr,Thailand,7,2,5,0
4,11,11-Apr,United Kingdom,5,0,3,2
4,11,11-Apr,United States,166,0,0,166
4,11,11-Apr,Viet Nam,62,4,43,15
4,12,12-Apr,Brazil,2,0,0,2
4,12,12-Apr,Canada,101,10,26,65
4,12,12-Apr,China,2417,93,1252,1072
4,12,12-Apr,Taiwan,23,0,7,16
4,12,12-Apr,France,5,0,1,4
4,12,12-Apr,Germany,6,0,4,2
4,12,12-Apr,Italy,3,0,2,1
4,12,12-Apr,Japan,4,0,0,4
4,12,12-Apr,Kuwait,1,0,0,1
4,12,12-Apr,Malaysia,4,1,0,3
4,12,12-Apr,Republic of Ireland,1,0,1,0
4,12,12-Apr,Romania,1,0,0,1
4,12,12-Apr,Singapore,147,9,77,61
4,12,12-Apr,South Africa,1,0,0,1
4,12,12-Apr,Spain,1,0,0,1
4,12,12-Apr,Switzerland,1,0,1,0
4,12,12-Apr,Thailand,8,2,5,1
4,12,12-Apr,United Kingdom,6,0,3,3
4,12,12-Apr,United States,166,0,0,166
4,12,12-Apr,Viet Nam,62,4,46,12
4,13,13-Apr,Brazil,2,0,0,2
4,13,13-Apr,Canada,101,10,26,65
4,13,13-Apr,China,2417,93,1252,1072
4,13,13-Apr,Taiwan,23,0,7,16
4,13,13-Apr,France,5,0,1,4
4,13,13-Apr,Germany,6,0,4,2
4,13,13-Apr,Italy,3,0,2,1
4,13,13-Apr,Japan,4,0,0,4
4,13,13-Apr,Kuwait,1,0,0,1
4,13,13-Apr,Malaysia,4,1,0,3
4,13,13-Apr,Republic of Ireland,1,0,1,0
4,13,13-Apr,Romania,1,0,0,1
4,13,13-Apr,Singapore,147,9,77,61
4,13,13-Apr,South Africa,1,0,0,1
4,13,13-Apr,Spain,1,0,0,1
4,13,13-Apr,Switzerland,1,0,1,0
4,13,13-Apr,Thailand,8,2,5,1
4,13,13-Apr,United Kingdom,6,0,3,3
4,13,13-Apr,United States,166,0,0,166
4,13,13-Apr,Viet Nam,62,4,46,12
4,14,14-Apr,Brazil,2,0,0,2
4,14,14-Apr,Canada,100,13,27,60
4,14,14-Apr,China,2608,111,1317,1180
4,14,14-Apr,Taiwan,23,0,7,16
4,14,14-Apr,France,5,0,1,4
