date,country,CumulativeCase,DeadCase,RecoveredCase,CurrentCase
3/30,Sweden,0,0,0,0
3/30,Switzerland,3,0,0,3
3/30,Taiwan,10,0,0,10
3/30,Thailand,3,1,0,2
3/30,United Kingdom,3,0,0,3
3/30,United States,59,0,0,59
3/31,Australia,0,0,0,0
3/31,United States,59,0,0,59
3/31,United Kingdom,3,0,0,3
3/31,Thailand,5,1,0,4
3/31,Taiwan,10,0,0,10
3/31,Switzerland,3,0,0,3
3/31,Sweden,0,0,0,0
3/31,Spain,0,0,0,0
3/31,South Africa,0,0,0,0
3/31,Slovenia,0,0,0,0
3/31,Singapore,91,2,0,89
3/31,Russian Federation,0,0,0,0
3/31,Romania,3,0,0,3
3/31,Republic of Korea,0,0,0,0
3/31,Republic of Ireland,2,0,0,2
3/31,Poland,0,0,0,0
3/31,Philippines,0,0,0,0
3/31,New Zealand,0,0,0,0
3/31,Mongolia,0,0,0,0
3/31,Malaysia,0,0,0,0
3/31,Kuwait,0,0,0,0
3/31,Japan,0,0,0,0
3/31,Italy,2,0,0,2
3/31,Indonesia,0,0,0,0
3/31,India,0,0,0,0
3/31,Germany,5,0,0,5
3/31,France,1,0,0,1
3/31,Finland,0,0,0,0
3/31,Colombia,0,0,0,0
3/31,China,1336,47,0,1289
3/31,Canada,44,4,0,40
3/31,Bulgaria,0,0,0,0
3/31,Brazil,0,0,0,0
3/31,Belgium,0,0,0,0
3/31,Viet Nam,58,4,0,54
4/01,South Africa,0,0,0,0
4/01,Belgium,1,0,0,1
4/01,Brazil,0,0,0,0
4/01,Bulgaria,0,0,0,0
4/01,Canada,53,4,0,49
4/01,China,1491,50,0,1441
4/01,Colombia,0,0,0,0
4/01,Finland,0,0,0,0
4/01,France,1,0,0,1
4/01,Germany,5,0,0,5
4/01,India,0,0,0,0
4/01,Indonesia,0,0,0,0
4/01,Italy,3,0,0,3
4/01,Japan,0,0,0,0
4/01,Kuwait,0,0,0,0
4/01,Malaysia,0,0,0,0
4/01,Mongolia,0,0,0,0
4/01,New Zealand,0,0,0,0
4/01,Philippines,0,0,0,0
4/01,Poland,0,0,0,0
4/01,Republic of Ireland,2,0,0,2
4/01,Republic of Korea,0,0,0,0
4/01,Romania,3,0,0,3
4/01,Russian Federation,0,0,0,0
4/01,Singapore,92,3,0,89
4/01,Slovenia,0,0,0,0
4/01,Spain,0,0,0,0
4/01,Sweden,0,0,0,0
4/01,Switzerland,3,0,0,3
4/01,Taiwan,13,0,0,13
4/01,Thailand,6,1,0,5
4/01,United Kingdom,3,0,0,3
4/01,United States,69,0,0,69
4/01,Viet Nam,58,4,0,54
4/01,Australia,1,0,0,1
4/02,Australia,1,0,0,1
4/02,Brazil,0,0,0,0
4/02,Bulgaria,0,0,0,0
4/02,Canada,58,6,0,52
4/02,China,1898,62,0,1836
4/02,Colombia,0,0,0,0
4/02,Finland,0,0,0,0
4/02,France,1,0,0,1
4/02,Germany,5,0,0,5
4/02,India,0,0,0,0
4/02,Indonesia,0,0,0,0
4/02,Italy,3,0,0,3
4/02,Japan,0,0,0,0
4/02,Kuwait,0,0,0,0
4/02,Malaysia,0,0,0,0
4/02,Mongolia,0,0,0,0
4/02,New Zealand,0,0,0,0
4/02,Philippines,0,0,0,0
4/02,Poland,0,0,0,0
4/02,Republic of Ireland,2,0,0,2
4/02,Republic of Korea,0,0,0,0
4/02,Romania,3,0,0,3
4/02,Russian Federation,0,0,0,0
4/02,Singapore,95,4,0,91
4/02,Slovenia,0,0,0,0
4/02,South Africa,0,0,0,0
4/02,Spain,1,0,0,1
4/02,Sweden,0,0,0,0
4/02,Switzerland,2,0,0,2
4/02,Taiwan,13,0,0,13
4/02,Thailand,7,2,0,5
4/02,United Kingdom,3,0,0,3
4/02,United States,72,0,0,72
4/02,Viet Nam,58,4,0,54
4/02,Belgium,1,0,0,1
4/03,Australia,1,0,0,1
4/03,Viet Nam,59,4,0,55
4/03,United States,85,0,0,85
4/03,United Kingdom,3,0,0,3
4/03,Thailand,7,2,0,5
4/03,Taiwan,14,0,0,14
4/03,Switzerland,2,0,0,2
4/03,Sweden,0,0,0,0
4/03,Spain,0,0,0,0
4/03,South Africa,0,0,0,0
4/03,Slovenia,0,0,0,0
4/03,Singapore,98,4,0,94
4/03,Russian Federation,0,0,0,0
4/03,Romania,1,0,0,1
4/03,Republic of Korea,0,0,0,0
4/03,Republic of Ireland,1,0,0,1
4/03,Poland,0,0,0,0
4/03,Philippines,0,0,0,0
4/03,New Zealand,0,0,0,0
4/03,Mongolia,0,0,0,0
4/03,Malaysia,0,0,0,0
4/03,Kuwait,0,0,0,0
4/03,Japan,0,0,0,0
4/03,Italy,3,0,0,3
4/03,Indonesia,0,0,0,0
4/03,India,0,0,0,0
4/03,Germany,5,0,0,5
4/03,France,3,0,0,3
4/03,Finland,0,0,0,0
4/03,Colombia,0,0,0,0
4/03,China,1924,63,0,1861
4/03,Canada,62,6,0,56
4/03,Bulgaria,0,0,0,0
4/03,Brazil,1,0,0,1
4/03,Belgium,1,0,0,1
4/04,United States,100,0,0,100
4/04,Belgium,1,0,0,1
4/04,Australia,1,0,0,1
4/04,United Kingdom,3,0,0,3
4/04,Thailand,7,2,0,5
4/04,Taiwan,15,0,0,15
4/04,Switzerland,2,0,0,2
4/04,Sweden,0,0,0,0
4/04,Spain,1,0,0,1
4/04,South Africa,0,0,0,0
4/04,Slovenia,0,0,0,0
4/04,Singapore,100,5,0,95
4/04,Russian Federation,0,0,0,0
4/04,Romania,1,0,0,1
4/04,Republic of Korea,0,0,0,0
4/04,Republic of Ireland,1,0,0,1
4/04,Poland,0,0,0,0
4/04,Philippines,0,0,0,0
4/04,New Zealand,0,0,0,0
4/04,Mongolia,0,0,0,0
4/04,Malaysia,0,0,0,0
4/04,Kuwait,0,0,0,0
4/04,Japan,0,0,0,0
4/04,Italy,3,0,0,3
4/04,Indonesia,0,0,0,0
4/04,India,0,0,0,0
4/04,Germany,5,0,0,5
4/04,France,3,0,0,3
4/04,Finland,0,0,0,0
4/04,Colombia,0,0,0,0
4/04,China,1981,66,0,1915
4/04,Canada,69,7,0,62
4/04,Bulgaria,0,0,0,0
4/04,Viet Nam,59,4,0,55
4/04,Brazil,1,0,0,1
4/05,United Kingdom,4,0,0,4
4/05,Viet Nam,59,4,0,55
4/05,United States,115,0,0,115
4/05,Australia,1,0,0,1
4/05,Belgium,1,0,0,1
4/05,Brazil,1,0,0,1
4/05,Bulgaria,0,0,0,0
4/05,Canada,74,7,0,67
4/05,China,2020,69,0,1951
4/05,Colombia,0,0,0,0
4/05,Finland,0,0,0,0
4/05,France,3,0,0,3
4/05,Germany,5,0,0,5
4/05,India,0,0,0,0
4/05,Indonesia,0,0,0,0
4/05,Italy,3,0,0,3
4/05,Japan,0,0,0,0
4/05,Kuwait,0,0,0,0
4/05,Malaysia,1,1,0,0
4/05,Mongolia,0,0,0,0
4/05,New Zealand,0,0,0,0
4/05,Philippines,0,0,0,0
4/05,Poland,0,0,0,0
4/05,Republic of Ireland,1,0,0,1
4/05,Republic of Korea,0,0,0,0
4/05,Romania,1,0,0,1
4/05,Russian Federation,0,0,0,0
4/05,Singapore,101,6,0,95
4/05,Slovenia,0,0,0,0
4/05,South Africa,0,0,0,0
4/05,Spain,1,0,0,1
4/05,Sweden,0,0,0,0
4/05,Switzerland,1,0,0,1
4/05,Taiwan,17,0,0,17
4/05,Thailand,7,2,0,5
4/06,Switzerland,1,0,0,1
4/06,Thailand,7,2,0,5
4/06,Viet Nam,59,4,0,55
4/06,United Kingdom,4,0,0,4
4/06,United States,115,0,0,115
4/06,Australia,1,0,0,1
4/06,Belgium,1,0,0,1
4/06,Brazil,1,0,0,1
4/06,Bulgaria,0,0,0,0
4/06,Canada,74,7,0,67
4/06,China,2020,69,0,1951
4/06,Colombia,0,0,0,0
4/06,Finland,0,0,0,0
4/06,France,3,0,0,3
4/06,Germany,5,0,0,5
4/06,India,0,0,0,0
4/06,Indonesia,0,0,0,0
4/06,Italy,3,0,0,3
4/06,Japan,0,0,0,0
4/06,Kuwait,0,0,0,0
4/06,Malaysia,1,1,0,0
4/06,Mongolia,0,0,0,0
4/06,New Zealand,0,0,0,0
4/06,Philippines,0,0,0,0
4/06,Poland,0,0,0,0
4/06,Republic of Ireland,1,0,0,1
4/06,Republic of Korea,0,0,0,0
4/06,Romania,1,0,0,1
4/06,Russian Federation,0,0,0,0
4/06,Singapore,101,6,0,95
4/06,Slovenia,0,0,0,0
4/06,South Africa,0,0,0,0
4/06,Spain,1,0,0,1
4/06,Sweden,0,0,0,0
4/06,Taiwan,17,0,0,17
4/07,South Africa,0,0,0,0
4/07,Australia,1,0,0,1
4/07,Belgium,0,0,0,0
4/07,Brazil,1,0,0,1
4/07,Bulgaria,0,0,0,0
4/07,Canada,90,9,0,81
4/07,China,2151,76,0,2075
4/07,Colombia,0,0,0,0
4/07,Finland,0,0,0,0
4/07,France,3,0,0,3
4/07,Germany,5,0,0,5
4/07,India,0,0,0,0
4/07,Indonesia,0,0,0,0
4/07,Italy,3,0,0,3
4/07,Japan,0,0,0,0
4/07,Kuwait,0,0,0,0
4/07,Malaysia,1,1,0,0
4/07,Mongolia,0,0,0,0
4/07,Viet Nam,62,4,0,58
4/07,New Zealand,0,0,0,0
4/07,Philippines,0,0,0,0
4/07,Poland,0,0,0,0
4/07,Republic of Ireland,1,0,0,1
4/07,Republic of Korea,0,0,0,0
4/07,Romania,1,0,0,1
4/07,Russian Federation,0,0,0,0
4/07,Singapore,106,6,0,100
4/07,Slovenia,0,0,0,0
4/07,Spain,1,0,0,1
4/07,Sweden,0,0,0,0
4/07,Switzerland,1,0,0,1
4/07,Taiwan,21,0,0,21
4/07,Thailand,7,2,0,5
4/07,United Kingdom,5,0,0,5
4/07,United States,141,0,0,141
4/08,Brazil,1,0,0,1
4/08,Bulgaria,0,0,0,0
4/08,Australia,1,0,0,1
4/08,Canada,91,10,0,81
4/08,China,2207,78,0,2129
4/08,Colombia,0,0,0,0
4/08,Finland,0,0,0,0
4/08,France,4,0,0,4
4/08,Germany,5,0,0,5
4/08,India,0,0,0,0
4/08,Indonesia,0,0,0,0
4/08,Italy,3,0,0,3
4/08,Japan,0,0,0,0
4/08,Kuwait,0,0,0,0
4/08,Malaysia,1,1,0,0
4/08,Mongolia,0,0,0,0
4/08,New Zealand,0,0,0,0
4/08,Philippines,0,0,0,0
4/08,Poland,0,0,0,0
4/08,Republic of Ireland,1,0,0,1
4/08,Republic of Korea,0,0,0,0
4/08,Romania,1,0,0,1
4/08,Russian Federation,0,0,0,0
4/08,Singapore,113,8,0,105
4/08,Slovenia,0,0,0,0
4/08,South Africa,0,0,0,0
4/08,Spain,1,0,0,1
4/08,Sweden,0,0,0,0
4/08,Switzerland,1,0,0,1
4/08,Taiwan,19,0,0,19
