date	country	value	key
3/21	South Africa	0	CurrentCase
3/21	South Africa	0	RecoveredCase
3/21	Spain	0	DeadCase
3/21	Spain	1	CurrentCase
3/21	Spain	0	RecoveredCase
3/21	Sweden	0	DeadCase
3/21	Sweden	0	CurrentCase
3/21	Sweden	0	RecoveredCase
3/21	Switzerland	0	DeadCase
3/21	Switzerland	7	CurrentCase
3/21	Switzerland	0	RecoveredCase
3/21	Taiwan	0	DeadCase
3/21	Taiwan	6	CurrentCase
3/21	Taiwan	0	RecoveredCase
3/21	Thailand	0	DeadCase
3/21	Thailand	4	CurrentCase
3/21	Thailand	0	RecoveredCase
3/21	United Kingdom	0	DeadCase
3/21	United Kingdom	2	CurrentCase
3/21	United Kingdom	0	RecoveredCase
3/21	Belgium	0	DeadCase
3/21	Belgium	0	CurrentCase
3/21	Belgium	0	RecoveredCase
3/22	Taiwan	0	DeadCase
3/22	Taiwan	6	CurrentCase
3/22	Taiwan	0	RecoveredCase
3/22	United Kingdom	0	DeadCase
3/22	United Kingdom	2	CurrentCase
3/22	United Kingdom	0	RecoveredCase
3/22	United States	0	DeadCase
3/22	United States	22	CurrentCase
3/22	United States	0	RecoveredCase
3/22	Viet Nam	2	DeadCase
3/22	Viet Nam	61	CurrentCase
3/22	Viet Nam	0	RecoveredCase
3/22	Australia	0	DeadCase
3/22	Australia	0	CurrentCase
3/22	Australia	0	RecoveredCase
3/22	Belgium	0	DeadCase
3/22	Belgium	0	CurrentCase
3/22	Belgium	0	RecoveredCase
3/22	Brazil	0	DeadCase
3/22	Brazil	0	CurrentCase
3/22	Brazil	0	RecoveredCase
3/22	Bulgaria	0	DeadCase
3/22	Bulgaria	0	CurrentCase
3/22	Bulgaria	0	RecoveredCase
3/22	Canada	2	DeadCase
3/22	Canada	7	CurrentCase
3/22	Canada	0	RecoveredCase
3/22	China	7	DeadCase
3/22	China	215	CurrentCase
3/22	China	0	RecoveredCase
3/22	Colombia	0	DeadCase
3/22	Colombia	0	CurrentCase
3/22	Colombia	0	RecoveredCase
3/22	Finland	0	DeadCase
3/22	Finland	0	CurrentCase
3/22	Finland	0	RecoveredCase
3/22	France	0	DeadCase
3/22	France	0	CurrentCase
3/22	France	0	RecoveredCase
3/22	Germany	0	DeadCase
3/22	Germany	2	CurrentCase
3/22	Germany	0	RecoveredCase
3/22	India	0	DeadCase
3/22	India	0	CurrentCase
3/22	India	0	RecoveredCase
3/22	Indonesia	0	DeadCase
3/22	Indonesia	0	CurrentCase
3/22	Indonesia	0	RecoveredCase
3/22	Italy	0	DeadCase
3/22	Italy	2	CurrentCase
3/22	Italy	0	RecoveredCase
3/22	Japan	0	DeadCase
3/22	Japan	0	CurrentCase
3/22	Japan	0	RecoveredCase
3/22	Kuwait	0	DeadCase
3/22	Kuwait	0	CurrentCase
3/22	Kuwait	0	RecoveredCase
3/22	Malaysia	0	DeadCase
3/22	Malaysia	0	CurrentCase
3/22	Malaysia	0	RecoveredCase
3/22	Mongolia	0	DeadCase
3/22	Mongolia	0	CurrentCase
3/22	Mongolia	0	RecoveredCase
3/22	New Zealand	0	DeadCase
3/22	New Zealand	0	CurrentCase
3/22	New Zealand	0	RecoveredCase
3/22	Philippines	0	DeadCase
3/22	Philippines	0	CurrentCase
3/22	Philippines	0	RecoveredCase
3/22	Poland	0	DeadCase
3/22	Poland	0	CurrentCase
3/22	Poland	0	RecoveredCase
3/22	Republic of Ireland	0	DeadCase
3/22	Republic of Ireland	1	CurrentCase
3/22	Republic of Ireland	0	RecoveredCase
3/22	Republic of Korea	0	DeadCase
3/22	Republic of Korea	0	CurrentCase
3/22	Republic of Korea	0	RecoveredCase
3/22	Romania	0	DeadCase
3/22	Romania	0	CurrentCase
3/22	Romania	0	RecoveredCase
3/22	Russian Federation	0	DeadCase
3/22	Russian Federation	0	CurrentCase
3/22	Russian Federation	0	RecoveredCase
3/22	Singapore	0	DeadCase
3/22	Singapore	4	CurrentCase
3/22	Singapore	0	RecoveredCase
3/22	Slovenia	0	DeadCase
3/22	Slovenia	0	CurrentCase
3/22	Slovenia	0	RecoveredCase
3/22	South Africa	0	DeadCase
3/22	South Africa	0	CurrentCase
3/22	South Africa	0	RecoveredCase
3/22	Spain	0	DeadCase
3/22	Spain	1	CurrentCase
3/22	Spain	0	RecoveredCase
3/22	Sweden	0	DeadCase
3/22	Sweden	0	CurrentCase
3/22	Sweden	0	RecoveredCase
3/22	Switzerland	0	DeadCase
3/22	Switzerland	7	CurrentCase
3/22	Switzerland	0	RecoveredCase
3/22	Thailand	0	DeadCase
3/22	Thailand	4	CurrentCase
3/22	Thailand	0	RecoveredCase
3/23	United Kingdom	0	DeadCase
3/23	United Kingdom	2	CurrentCase
3/23	United Kingdom	0	RecoveredCase
3/23	Viet Nam	2	DeadCase
3/23	Viet Nam	61	CurrentCase
3/23	Viet Nam	0	RecoveredCase
3/23	Belgium	0	DeadCase
3/23	Belgium	0	CurrentCase
3/23	Belgium	0	RecoveredCase
3/23	Australia	0	DeadCase
3/23	Australia	0	CurrentCase
3/23	Australia	0	RecoveredCase
3/23	Brazil	0	DeadCase
3/23	Brazil	0	CurrentCase
3/23	Brazil	0	RecoveredCase
3/23	Bulgaria	0	DeadCase
3/23	Bulgaria	0	CurrentCase
3/23	Bulgaria	0	RecoveredCase
3/23	Canada	2	DeadCase
3/23	Canada	7	CurrentCase
3/23	Canada	0	RecoveredCase
3/23	China	7	DeadCase
3/23	China	215	CurrentCase
3/23	China	0	RecoveredCase
3/23	Colombia	0	DeadCase
3/23	Colombia	0	CurrentCase
3/23	Colombia	0	RecoveredCase
3/23	Finland	0	DeadCase
3/23	Finland	0	CurrentCase
3/23	Finland	0	RecoveredCase
3/23	France	0	DeadCase
3/23	France	0	CurrentCase
3/23	France	0	RecoveredCase
3/23	Germany	0	DeadCase
3/23	Germany	2	CurrentCase
3/23	Germany	0	RecoveredCase
3/23	India	0	DeadCase
3/23	India	0	CurrentCase
3/23	India	0	RecoveredCase
3/23	Indonesia	0	DeadCase
3/23	Indonesia	0	CurrentCase
3/23	Indonesia	0	RecoveredCase
3/23	Italy	0	DeadCase
3/23	Italy	2	CurrentCase
3/23	Italy	0	RecoveredCase
3/23	Japan	0	DeadCase
3/23	Japan	0	CurrentCase
